p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene	ensembl_gene_id	entrezgene_id	wikigene_description	ontology term	ontology description	ontology level
0	4.503036302	0.383	0.061	0	Hspa1b	ENSMUSG00000090877	15511	heat shock protein 1B	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
0	4.165251459	0.349	0.08	0	Hspa1a	ENSMUSG00000091971	193740	heat shock protein 1A	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
0	-1.016352964	0.815	0.919	0	Rbm3	ENSMUSG00000031167	19652	"RNA binding motif (RNP1, RRM) protein 3"			
1.55E-251	-1.011228975	0.632	0.793	4.99E-247	Rps27rt	ENSMUSG00000050621	100043813	"ribosomal protein S27, retrogene"	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
2.62E-212	2.838805058	0.292	0.095	8.47E-208	Hsph1	ENSMUSG00000029657	15505	heat shock 105kDa/110kDa protein 1	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
4.30E-190	-0.531946553	0.937	0.962	1.39E-185	Rps2	ENSMUSG00000044533	16898	ribosomal protein S2	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
8.05E-181	-1.361158876	0.33	0.561	2.60E-176	Fkbp5	ENSMUSG00000024222	14229	FK506 binding protein 5	protein binding	Binding to a protein.	molecular_function
6.08E-158	0.658866536	0.848	0.752	1.96E-153	Rsrp1	ENSMUSG00000037266	27981	arginine/serine rich protein 1			
2.81E-149	1.241468902	0.757	0.638	9.08E-145	Dnaja1	ENSMUSG00000028410	15502	DnaJ heat shock protein family (Hsp40) member A1	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
2.96E-130	0.523506324	0.887	0.817	9.56E-126	AY036118	NA	NA	NA	NA	NA	NA
2.60E-123	0.616711707	0.89	0.865	8.39E-119	Hsp90ab1	ENSMUSG00000023944	15516	"heat shock protein 90 alpha (cytosolic), class B member 1"	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.66E-121	0.969521778	0.684	0.539	5.36E-117	Sltm	ENSMUSG00000032212	66660	"SAFB-like, transcription modulator"	RNA binding	Binding to an RNA molecule or a portion thereof.	molecular_function
4.91E-118	1.306042585	0.752	0.658	1.58E-113	Hsp90aa1	ENSMUSG00000021270	15519	"heat shock protein 90, alpha (cytosolic), class A member 1"	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.78E-114	-0.289489906	0.983	0.988	5.76E-110	Rpl41	ENSMUSG00000093674	67945	ribosomal protein L41	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
1.04E-103	-0.506529049	0.786	0.85	3.37E-99	Ucp2	ENSMUSG00000033685	22228	"uncoupling protein 2 (mitochondrial, proton carrier)"	transmembrane transport	"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."	biological_process
2.50E-98	-0.378736105	0.855	0.902	8.07E-94	Atp5g2	NA	NA	NA	NA	NA	NA
